FRESHMAN YEAR,,,,,,,
I. SEMESTER,,,,,,,
EECS 481,Cryptography,3,0,0,3,5,NONE
EECS 461,Machine Learning,3,0,0,3,5,NONE
EECS 418,Information Theory,3,0,0,3,5,NONE
EECS 468,Bioinformatics,3,0,0,3,5,NONE
EECS 462,"Automata Theory, Languages and Computation",3,0,0,3,5,NONE
DEVICES,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
EECS 403,Digital Circuit Design,3,0,0,3,5,NONE
EECS 404,Communication Circuits,3,0,0,3,5,NONE
EECS 405,RF Circuit Design,3,0,0,3,5,NONE
EECS 407,Advanced Integrated Analog Circuit Design,3,0,0,3,5,NONE
EECS 422,Wave Propagation and Antennas,3,0,0,3,5,NONE
EECS 423,Optics,3,0,0,3,5,NONE
EECS 424,Photonics and Lasers,3,0,0,3,5,NONE
EECS 441,Nano and Micro Electro Mechanical Systems,3,0,0,3,5,NONE
EE SYSTEMS,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
EECS 413,Wireless Communications,3,0,0,3,5,NONE
EECS 415,Digital Signal Processing,3,0,0,3,5,NONE
EECS 416,Image and Video Processing,3,0,0,3,5,NONE
EECS 465,Introduction to Robotics,3,0,0,3,5,NONE
OTHER DEPARTMENTAL or COLLEGE ELECTIVES,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
EECS 402,Entrepreneurship,3,0,0,3,5,NONE
ENGR 422,Numerical Methods,3,0,0,3,5,NONE
?,,,,,,,
"Other college / departmental elective courses, including courses from graduate programns may be taken with the consent of the academic advisor.",,,,,,,
,,,,,,,
"ECE and BGM coded graduate courses will be taken as departmental, ISE coded graduate courses will be taken as college electives.",,,,,,,
,,,,,,,
CORE COURSES ELECTIVES,,,,,,,
COURSE CODE,COURSE NAME,T,P,L,CR,ECTS,PRE-REQ.
UNI 117,Understanding Society and Culture,3,0,0,3,5,None
UNI 221,World Civilizations and Global Encounters: Until 1300 CE,3,0,0,3,5,None
UNI 102,Critical Thinking,3,0,0,3,5,None
UNI 118,Understanding Politics and Economy,3,0,0,3,5,None
UNI 222,World Civilizations and Global Encounters: Since 1300 CE,3,0,0,3,5,None
UNI 205,Understanding Science and Environment,3,0,0,3,5,None
UNI 209,Understanding Cultural Encounters,3,0,0,3,5,None
UNI 211,Understanding Art and Architecture,3,0,0,3,5,None
Other UNI courses may be taken with the consent of the academic advisor and approval of the College Administrative Board.,,,,,,,
,,,,,,,
NOTES:,,,,,,,
T (Theorical) P (Practical) L (Laboratory) Cr (Credit) ECTS (European Credit Transfer System Credit),,,,,,,
"For International Students, instead of UNI 111 and UNI 112, two of UNI 115, 116, 215, 216, 315, 316 courses will be given.",,,,,,,
General Electives:�All the Courses offered within the university excluding the courses offered by the college.,,,,,,,
Departmental Electives:�Courses offered by the department with its own code,,,,,,,
College Electives:�All the Courses offered within the college excluding the courses offered by the department,,,,,,,
,,,,,,,
Total Credits Required for Graduation: 144,,,,,,,
No. of Courses: 49,,,,,,,
Average Credit Load Per Semester: 18,,,,,,,
Total Credits of Electives: 36,,,,,,,
Elective Ratio: 25%,,,,,,,
,,,,,,,
6 Departmental Electives from the tracks defined below with the approval of the academic advisor. (At least 3 must be from the same track.),,,,,,,
1 College Elective course to be taken from junior or senior level courses from other CENS departments (or other colleges and schools) with the approval of the academic advisor.,,,,,,,
5 Core Course (Humanities) Elective courses are taken from the pool of Core Curriculum listed above.,,,,,,,
College and General Elective courses may replace each other with the consent of the academic advisor.,,,,,,,
,,,,,,,
This new curriculum will be implemented for the new freshman students who entered the College in the year 2014.,,,,,,,
,,,,,,,
Total credit required for graduation is 140.,,,,,,,
,,,,,,,
ENGR 100 is not compulsory.,,,,,,,
,,,,,,,
EECS 218 is compulsory for the students who did not take EE 331 before.,,,,,,,
,,,,,,,
"MATH 206 is not compulsory, a college or general elective will be replaced for that.",,,,,,,
,,,,,,,
IE 451 is compulsoy for the students who started their undergraduate studies in and after the academic year of 2013-2014.,,,,,,,
,,,,,,,
"For the others, a college or general elective will be replaced for that.",,,,,,,
,,,,,,,
EECS 214 which is removed from the curriculum will be replaced for a college elective.,,,,,,,
